wavelength(AA)   flux(mJy)   unc(mJy)   resolution(km/s)
4000.000     0.4480   0.0421   300.0
4001.000     0.4188   0.0433   299.9
4002.000     0.3987   0.0436   299.9
4003.000     0.4631   0.0437   299.8
4004.000     0.3489   0.0437   299.7
4005.000     0.4697   0.0437   299.7
4006.000     0.4609   0.0438   299.6
4007.000     0.4128   0.0439   299.6
4008.000     0.4487   0.0440   299.5
4009.000     0.4092   0.0443   299.4
4010.000     0.4043   0.0446   299.4
4011.000     0.4924   0.0449   299.3
4012.000     0.4617   0.0453   299.2
4013.000     0.5468   0.0457   299.2
4014.000     0.5794   0.0460   299.1
4015.000     0.4938   0.0462   299.0
4016.000     0.4785   0.0464   299.0
4017.000     0.5453   0.0466   298.9
4018.000     0.3880   0.0468   298.8
4019.000     0.4146   0.0469   298.8
4020.000     0.4635   0.0470   298.7
4021.000     0.4888   0.0470   298.7
4022.000     0.4787   0.0471   298.6
4023.000     0.4797   0.0471   298.5
4024.000     0.5089   0.0471   298.5
4025.000     0.4739   0.0470   298.4
4026.000     0.4995   0.0470   298.3
4027.000     0.4834   0.0468   298.3
4028.000     0.4426   0.0466   298.2
4029.000     0.4279   0.0463   298.1
4030.000     0.4161   0.0459   298.1
4031.000     0.4783   0.0456   298.0
4032.000     0.4484   0.0454   298.0
4033.000     0.5385   0.0452   297.9
4034.000     0.4639   0.0453   297.8
4035.000     0.5464   0.0455   297.8
4036.000     0.4136   0.0459   297.7
4037.000     0.4729   0.0464   297.6
4038.000     0.4150   0.0468   297.6
4039.000     0.4717   0.0472   297.5
4040.000     0.5220   0.0473   297.4
4041.000     0.4658   0.0473   297.4
4042.000     0.4697   0.0471   297.3
4043.000     0.4982   0.0468   297.2
4044.000     0.5640   0.0464   297.2
4045.000     0.4324   0.0461   297.1
4046.000     0.4236   0.0458   297.1
4047.000     0.4417   0.0458   297.0
4048.000     0.4652   0.0459   296.9
4049.000     0.4387   0.0461   296.9
4050.000     0.4896   0.0464   296.8
4051.000     0.5142   0.0466   296.7
4052.000     0.4251   0.0468   296.7
4053.000     0.5568   0.0469   296.6
4054.000     0.4159   0.0469   296.5
4055.000     0.4965   0.0468   296.5
4056.000     0.4842   0.0466   296.4
4057.000     0.5609   0.0464   296.4
4058.000     0.4448   0.0462   296.3
4059.000     0.4710   0.0460   296.2
4060.000     0.4900   0.0459   296.2
4061.000     0.5045   0.0457   296.1
4062.000     0.4544   0.0456   296.0
4063.000     0.5430   0.0455   296.0
4064.000     0.4085   0.0454   295.9
4065.000     0.4205   0.0454   295.8
4066.000     0.4634   0.0455   295.8
4067.000     0.4229   0.0456   295.7
4068.000     0.3948   0.0458   295.6
4069.000     0.5281   0.0460   295.6
4070.000     0.5057   0.0461   295.5
4071.000     0.3631   0.0462   295.5
4072.000     0.5076   0.0462   295.4
4073.000     0.5154   0.0461   295.3
4074.000     0.4106   0.0459   295.3
4075.000     0.5154   0.0456   295.2
4076.000     0.3877   0.0454   295.1
4077.000     0.4308   0.0453   295.1
4078.000     0.4457   0.0453   295.0
4079.000     0.4763   0.0454   294.9
4080.000     0.4747   0.0457   294.9
4081.000     0.4708   0.0461   294.8
4082.000     0.4253   0.0465   294.8
4083.000     0.5424   0.0470   294.7
4084.000     0.5065   0.0475   294.6
4085.000     0.4538   0.0480   294.6
4086.000     0.4564   0.0484   294.5
4087.000     0.5564   0.0488   294.4
4088.000     0.5223   0.0491   294.4
4089.000     0.4482   0.0493   294.3
4090.000     0.4740   0.0493   294.2
4091.000     0.5425   0.0492   294.2
4092.000     0.3922   0.0489   294.1
4093.000     0.4412   0.0483   294.0
4094.000     0.5096   0.0475   294.0
4095.000     0.4086   0.0466   293.9
4096.000     0.5271   0.0454   293.9
4097.000     0.3924   0.0442   293.8
4098.000     0.3694   0.0429   293.7
4099.000     0.3611   0.0416   293.7
4100.000     0.4075   0.0406   293.6
4101.000     0.3814   0.0398   293.5
4102.000     0.3627   0.0393   293.5
4103.000     0.3967   0.0392   293.4
4104.000     0.3637   0.0396   293.3
4105.000     0.4122   0.0402   293.3
4106.000     0.4376   0.0411   293.2
4107.000     0.4365   0.0421   293.2
4108.000     0.3855   0.0432   293.1
4109.000     0.4827   0.0443   293.0
4110.000     0.4597   0.0452   293.0
4111.000     0.4993   0.0461   292.9
4112.000     0.5141   0.0468   292.8
4113.000     0.4564   0.0475   292.8
4114.000     0.5178   0.0480   292.7
4115.000     0.4503   0.0485   292.6
4116.000     0.5165   0.0488   292.6
4117.000     0.4107   0.0490   292.5
4118.000     0.5248   0.0492   292.4
4119.000     0.4935   0.0492   292.4
4120.000     0.4098   0.0492   292.3
4121.000     0.5089   0.0492   292.3
4122.000     0.4664   0.0493   292.2
4123.000     0.5971   0.0493   292.1
4124.000     0.5027   0.0493   292.1
4125.000     0.6064   0.0493   292.0
4126.000     0.5284   0.0492   291.9
4127.000     0.4491   0.0492   291.9
4128.000     0.5050   0.0490   291.8
4129.000     0.5001   0.0488   291.7
4130.000     0.5283   0.0486   291.7
4131.000     0.4091   0.0485   291.6
4132.000     0.4717   0.0484   291.6
4133.000     0.4563   0.0484   291.5
4134.000     0.4975   0.0486   291.4
4135.000     0.4987   0.0489   291.4
4136.000     0.5087   0.0493   291.3
4137.000     0.5300   0.0496   291.2
4138.000     0.4912   0.0500   291.2
4139.000     0.5415   0.0502   291.1
4140.000     0.4841   0.0503   291.0
4141.000     0.4822   0.0503   291.0
4142.000     0.5184   0.0501   290.9
4143.000     0.5088   0.0499   290.8
4144.000     0.4479   0.0497   290.8
4145.000     0.6056   0.0495   290.7
4146.000     0.4463   0.0494   290.7
4147.000     0.4191   0.0494   290.6
4148.000     0.5511   0.0495   290.5
4149.000     0.5221   0.0496   290.5
4150.000     0.5161   0.0497   290.4
4151.000     0.4657   0.0497   290.3
4152.000     0.4276   0.0497   290.3
4153.000     0.4862   0.0497   290.2
4154.000     0.4949   0.0497   290.1
4155.000     0.4983   0.0498   290.1
4156.000     0.5037   0.0499   290.0
4157.000     0.5634   0.0501   290.0
4158.000     0.4489   0.0504   289.9
4159.000     0.4110   0.0508   289.8
4160.000     0.4924   0.0512   289.8
4161.000     0.4298   0.0516   289.7
4162.000     0.3770   0.0519   289.6
4163.000     0.6010   0.0522   289.6
4164.000     0.5322   0.0523   289.5
4165.000     0.4901   0.0523   289.4
4166.000     0.5012   0.0522   289.4
4167.000     0.6096   0.0519   289.3
4168.000     0.5737   0.0515   289.2
4169.000     0.5569   0.0511   289.2
4170.000     0.5227   0.0506   289.1
4171.000     0.4474   0.0501   289.1
4172.000     0.4894   0.0496   289.0
4173.000     0.4448   0.0491   288.9
4174.000     0.5870   0.0488   288.9
4175.000     0.4351   0.0486   288.8
4176.000     0.4220   0.0485   288.7
4177.000     0.4069   0.0486   288.7
4178.000     0.5274   0.0488   288.6
4179.000     0.4091   0.0491   288.5
4180.000     0.5242   0.0494   288.5
4181.000     0.5116   0.0497   288.4
4182.000     0.4901   0.0500   288.4
4183.000     0.6287   0.0503   288.3
4184.000     0.4779   0.0506   288.2
4185.000     0.5328   0.0508   288.2
4186.000     0.4465   0.0509   288.1
4187.000     0.4703   0.0511   288.0
4188.000     0.5514   0.0513   288.0
4189.000     0.4747   0.0514   287.9
4190.000     0.5142   0.0516   287.8
4191.000     0.5530   0.0517   287.8
4192.000     0.5225   0.0518   287.7
4193.000     0.4968   0.0518   287.6
4194.000     0.5201   0.0517   287.6
4195.000     0.4061   0.0515   287.5
4196.000     0.4977   0.0512   287.5
4197.000     0.5623   0.0508   287.4
4198.000     0.5928   0.0504   287.3
4199.000     0.5361   0.0501   287.3
4200.000     0.5067   0.0499   287.2
4201.000     0.5066   0.0498   287.1
4202.000     0.4609   0.0499   287.1
4203.000     0.5498   0.0502   287.0
4204.000     0.5508   0.0505   286.9
4205.000     0.4825   0.0510   286.9
4206.000     0.4353   0.0515   286.8
4207.000     0.5431   0.0520   286.8
4208.000     0.5917   0.0526   286.7
4209.000     0.5060   0.0530   286.6
4210.000     0.5472   0.0533   286.6
4211.000     0.5572   0.0535   286.5
4212.000     0.5893   0.0536   286.4
4213.000     0.5641   0.0537   286.4
4214.000     0.4865   0.0536   286.3
4215.000     0.5814   0.0536   286.2
4216.000     0.5200   0.0536   286.2
4217.000     0.5377   0.0536   286.1
4218.000     0.5842   0.0536   286.0
4219.000     0.4378   0.0536   286.0
4220.000     0.5815   0.0535   285.9
4221.000     0.4752   0.0533   285.9
4222.000     0.4973   0.0528   285.8
4223.000     0.5845   0.0521   285.7
4224.000     0.5757   0.0514   285.7
4225.000     0.4649   0.0506   285.6
4226.000     0.4486   0.0500   285.5
4227.000     0.4206   0.0496   285.5
4228.000     0.4530   0.0495   285.4
4229.000     0.5771   0.0497   285.3
4230.000     0.5111   0.0502   285.3
